Radeon R5 240,2013-11-01,5.990000000000000000e+02,2.919999999999999929e+01
Radeon R9 290,2013-11-05,4.848600000000000364e+03,6.061000000000000227e+02
Radeon R9 270,2013-11-13,2.368000000000000000e+03,1.480000000000000000e+02
Radeon R7 260,2013-12-17,1.536000000000000000e+03,9.600000000000000000e+01
Radeon R5 235,2013-12-21,2.480000000000000000e+02,nan
Radeon R7 250E,2013-12-21,8.192000000000000455e+02,5.120000000000000284e+01
Radeon R5 220,2013-12-21,2.000000000000000000e+02,nan
Radeon R5 235X,2013-12-21,2.800000000000000000e+02,nan
FirePro D700,2014-01-18,3.482000000000000000e+03,8.703999999999999773e+02
FirePro D300,2014-01-18,2.176000000000000000e+03,1.360000000000000000e+02
FirePro D500,2014-01-18,2.227000000000000000e+03,5.567999999999999545e+02
Radeon R7 250X,2014-02-10,1.280000000000000000e+03,8.000000000000000000e+01
Radeon R7 265,2014-02-13,1.843200000000000045e+03,1.152000000000000028e+02
Radeon R9 280,2014-03-04,3.343900000000000091e+03,8.360000000000000000e+02
FirePro W9100,2014-03-26,5.237800000000000182e+03,2.618900000000000091e+03
Radeon R5 230,2014-04-03,2.000000000000000000e+02,nan
Radeon R9 295X2,2014-04-08,1.146675000000000000e+04,1.433339999999999918e+03
FirePro W8100,2014-06-26,4.218899999999999636e+03,2.109449999999999818e+03
FirePro S9150,2014-08-06,5.070000000000000000e+03,2.530000000000000000e+03
FirePro S9050,2014-08-06,3.225599999999999909e+03,8.063999999999999773e+02
FirePro S4000x,2014-08-07,9.920000000000000000e+02,6.200000000000000000e+01
FirePro W2100,2014-08-13,4.031999999999999886e+02,2.550000000000000000e+01
FirePro W7100,2014-08-13,3.297000000000000000e+03,2.060000000000000000e+02
FirePro W5100,2014-08-13,1.430000000000000000e+03,8.920000000000000284e+01
FirePro W4100,2014-08-13,6.451000000000000227e+02,4.029999999999999716e+01
Radeon R9 285,2014-09-02,3.290000000000000000e+03,2.065999999999999943e+02
FirePro S9100,2014-10-02,4.219000000000000000e+03,2.109000000000000000e+03
Radeon R5 340,2015-05-21,6.336000000000000227e+02,3.960000000000000142e+01
Radeon R5 340X,2015-05-21,8.060000000000000000e+02,5.039999999999999858e+01
Radeon R7 340,2015-05-21,5.990000000000000000e+02,3.273499999999999943e+01
Radeon R7 350X,2015-05-21,8.060000000000000000e+02,5.039999999999999858e+01
Radeon R5 330,2015-05-21,5.472000000000000455e+02,3.420000000000000284e+01
Radeon R9 370,2015-05-21,1.996799999999999955e+03,1.247999999999999972e+02
